Title,Title_link,Thumbnail,Box-sc-8ox7qa-0,Text__TextBase-sc-1i9uasc-0-div,Text__TextBase-sc-1i9uasc-0-div1,Text__TextBase-sc-1i9uasc-0-div2,Text__TextBase-sc-1i9uasc-0-div3,SSeMC,Padding-sc-1d43y5s-01,cERLyX,Field2,Field3
190 E Moody Ave,https://www.trulia.com/p/ca/fresno/190-e-moody-ave-fresno-ca-93720--2117004172,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Contact For Estimate,4bd,1.75ba,"2,096 sqft","2,096 sqft","Woodward Park, Fresno, CA",1.75ba,"Lot Size: 10,759 sqft",Built in 1978,Cooling System: Refrigerator
2408 W Carmen Ave,https://www.trulia.com/p/ca/fresno/2408-w-carmen-ave-fresno-ca-93728--2117084476,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$163,000 ",3bd,1.75ba,"1,241 sqft","1,241 sqft","West, Fresno, CA",1.75ba,$131/sqft,"Lot Size: 3,841 sqft",Built in 1984
1710 W Santa Ana Ave #102,https://www.trulia.com/p/ca/fresno/1710-w-santa-ana-ave-102-fresno-ca-93705--2116960310,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$199,000 ",2bd,2ba,"1,297 sqft","1,297 sqft","Bullard, Fresno, CA",2ba,$153/sqft,"Lot Size: 3,223 sqft",$295/monthly HOA
1785 W Dovewood Ln,https://www.trulia.com/p/ca/fresno/1785-w-dovewood-ln-fresno-ca-93711--2116989382,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$540,000 ",4bd,3ba,"2,817 sqft","2,817 sqft","Bullard, Fresno, CA",3ba,$192/sqft,Lot Size: 0.31 acres,Built in 1981
1556 W Keats Ave,https://www.trulia.com/p/ca/fresno/1556-w-keats-ave-fresno-ca-93711--2116988543,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$325,000 ",2bd,2ba,"1,644 sqft","1,644 sqft","Bullard, Fresno, CA",2ba,$198/sqft,Lot Size: 0.30 acres,Built in 1956
5793 E Washington Ave,https://www.trulia.com/p/ca/fresno/5793-e-washington-ave-fresno-ca-93727--1058778643,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$370,000 ",3bd,4ba,"2,420 sqft","2,420 sqft","Roosevelt, Fresno, CA",4ba,$153/sqft,Lot Size: 0.37 acres,Built in 1966
3874 N Manor Ave,https://www.trulia.com/p/ca/fresno/3874-n-manor-ave-fresno-ca-93705--2116964065,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$237,000 ",3bd,1ba,"1,051 sqft","1,051 sqft","Fresno High Roeding, Fresno, CA",1ba,$226/sqft,"Lot Size: 9,099 sqft",Built in 1953
3855 E Fedora Ave,https://www.trulia.com/p/ca/fresno/3855-e-fedora-ave-fresno-ca-93726--2117056478,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Contact For Estimate,3bd,1.75ba,"1,500 sqft","1,500 sqft","Mclane, Fresno, CA",1.75ba,"Lot Size: 6,098 sqft",Built in 1957,5 Rooms
4755 E Braly Ave,https://www.trulia.com/p/ca/fresno/4755-e-braly-ave-fresno-ca-93702--2116937709,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$125,000 ",3bd,3ba,"1,131 sqft","1,131 sqft","Roosevelt, Fresno, CA",3ba,$111/sqft,"Lot Size: 6,534 sqft",Built in 1960
525 W Lamona Ave,https://www.trulia.com/p/ca/fresno/525-w-lamona-ave-fresno-ca-93728--2117085109,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$183,000 ",2bd,1ba,"1,382 sqft","1,382 sqft","Fresno High Roeding, Fresno, CA",1ba,$132/sqft,"Lot Size: 8,276 sqft",Built in 1946
1567 E Eclipse Ave,https://www.trulia.com/p/ca/fresno/1567-e-eclipse-ave-fresno-ca-93720--2117002623,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$292,000 ",3bd,3ba,"1,789 sqft","1,789 sqft","Woodward Park, Fresno, CA",3ba,$163/sqft,"Lot Size: 6,250 sqft",Built in 1991
1136 E Griffith Way,https://www.trulia.com/p/ca/fresno/1136-e-griffith-way-fresno-ca-93704--2116948514,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$183,000 ",3bd,2ba,"1,730 sqft","1,730 sqft","Fresno High Roeding, Fresno, CA",2ba,,,
9872 N Recreation Ave,https://www.trulia.com/p/ca/fresno/9872-n-recreation-ave-fresno-ca-93720--2117016607,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$440,000 ",4bd,2.75ba,"2,378 sqft","2,378 sqft","Woodward Park, Fresno, CA",2.75ba,$185/sqft,"Lot Size: 9,252 sqft",Built in 2000
2761 E Niles Ave,https://www.trulia.com/p/ca/fresno/2761-e-niles-ave-fresno-ca-93720--2117007007,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$432,500 ",5bd,3ba,"2,524 sqft","2,524 sqft","Woodward Park, Fresno, CA",3ba,$171/sqft,"Lot Size: 7,100 sqft",Built in 2004
7488 E Robinson Ave,https://www.trulia.com/p/ca/fresno/7488-e-robinson-ave-fresno-ca-93737--2117092409,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$265,000 ",2bd,2ba,"1,109 sqft","1,109 sqft","Mclane, Fresno, CA",2ba,$239/sqft,"Lot Size: 3,576 sqft",Built in 2009
9860 N Canyon Creek Ln,https://www.trulia.com/p/ca/fresno/9860-n-canyon-creek-ln-fresno-ca-93730--2117091137,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$295,000 ",3bd,2ba,"1,280 sqft","1,280 sqft","Woodward Park, Fresno, CA",2ba,$230/sqft,"Lot Size: 4,791 sqft",$67/monthly HOA
5284 W Lamona Ave,https://www.trulia.com/p/ca/fresno/5284-w-lamona-ave-fresno-ca-93722--2411484159,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=5284%20W%20Lamona%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=ltVyV4LAOrN9dECabtIfXLv_nqU%3D,"$298,000 ",Studio,5284 W Lamona Ave,5284 W Lamona Ave,"Fresno, CA","Fresno, CA",,"Rooms: Dining Room, Family Room",Parking Spaces: 2,Stories: 1
7568 N Angus St #103,https://www.trulia.com/p/ca/fresno/7568-n-angus-st-103-fresno-ca-93720--2117010562,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=7568%20N%20Angus%20St%20%23103%20Fresno%20CA%2093720&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=nrr-ca8xSOqnh-UJhQwRq1snjU0%3D,"$215,500 ",2bd,2ba,"1,538 sqft","1,538 sqft","Woodward Park, Fresno, CA",2ba,$140/sqft,"Lot Size: 1,520 sqft",$175/monthly HOA
4623 W Berkeley Ave,https://www.trulia.com/p/ca/fresno/4623-w-berkeley-ave-fresno-ca-93722--1058278651,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=4623%20W%20Berkeley%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=L97Y4QN2Z7Mq9Qcm9NYuLk4WWLM%3D,"$255,000 ",3bd,2ba,"1,482 sqft","1,482 sqft","West, Fresno, CA",2ba,$172/sqft,"Lot Size: 5,671 sqft",Built in 1994
5453 W Wathen Ave,https://www.trulia.com/p/ca/fresno/5453-w-wathen-ave-fresno-ca-93722--2117033170,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=5453%20W%20Wathen%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=TcENJJxcrHHvSfG50_jh5LLLM_8%3D,"$292,000 ",3bd,2ba,"1,529 sqft","1,529 sqft","Bullard, Fresno, CA",2ba,$191/sqft,"Lot Size: 7,927 sqft",Built in 1990
5480 E Bobolink Ln,https://www.trulia.com/p/ca/fresno/5480-e-bobolink-ln-fresno-ca-93727--2117073604,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$425,000 ",5bd,3ba,"2,850 sqft","2,850 sqft","Roosevelt, Fresno, CA",3ba,$149/sqft,Lot Size: 0.69 acres,Built in 1958
2613 E Houston Ave,https://www.trulia.com/p/ca/fresno/2613-e-houston-ave-fresno-ca-93720--1056852823,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Contact For Estimate,3bd,2.5ba,"1,642 sqft","1,642 sqft","Woodward Park, Fresno, CA",2.5ba,"Lot Size: 6,098 sqft",Built in 1999,Cooling System: Refrigerator
113 E Robinson Ave,https://www.trulia.com/p/ca/fresno/113-e-robinson-ave-fresno-ca-93704--1002046001,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$255,000 ",4bd,2.5ba,"1,643 sqft","1,643 sqft","Fresno High Roeding, Fresno, CA",2.5ba,,,
2153 E Cole Ave,https://www.trulia.com/p/ca/fresno/2153-e-cole-ave-fresno-ca-93720--2117004782,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$350,000 ",3bd,2ba,"1,645 sqft","1,645 sqft","Woodward Park, Fresno, CA",2ba,$213/sqft,"Lot Size: 5,998 sqft",Built in 1994
2398 S Winery Ave,https://www.trulia.com/p/ca/fresno/2398-s-winery-ave-fresno-ca-93725--2457074415,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$332,500 ",Studio,2398 S Winery Ave,2398 S Winery Ave,"Roosevelt, Fresno, CA","Roosevelt, Fresno, CA",,"Lot Size: 7,797 sqft",,
8550 N Maple Ave,https://www.trulia.com/p/ca/fresno/8550-n-maple-ave-fresno-ca-93720--2117012982,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$777,000 ",4bd,3.75ba,"3,556 sqft","3,556 sqft","Woodward Park, Fresno, CA",3.75ba,$219/sqft,Lot Size: 0.92 acres,Built in 2006
6224 W Alluvial Ave,https://www.trulia.com/p/ca/fresno/6224-w-alluvial-ave-fresno-ca-93722--1058956304,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$335,000 ",3bd,2ba,"1,746 sqft","1,746 sqft","Bullard, Fresno, CA",2ba,$192/sqft,"Lot Size: 7,139 sqft",Built in 1993
1227 E Byrd Ave,https://www.trulia.com/p/ca/fresno/1227-e-byrd-ave-fresno-ca-93706--2116968975,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$83,500 ",Studio,816 sqft,816 sqft,1227 E Byrd Ave,"Edison, Fresno, CA",,$102/sqft,"Lot Size: 7,100 sqft",Built in 1951
2235 S Laureen Ave,https://www.trulia.com/p/ca/fresno/2235-s-laureen-ave-fresno-ca-93725--1056440564,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$225,000 ",3bd,2ba,"1,308 sqft","1,308 sqft","Roosevelt, Fresno, CA",2ba,$172/sqft,"Lot Size: 7,379 sqft",Built in 1979
9860 N Canyon Creek Ln,https://www.trulia.com/p/ca/fresno/9860-n-canyon-creek-ln-fresno-ca-93730--2117091137,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$295,000 ",3bd,2ba,"1,280 sqft","1,280 sqft","Woodward Park, Fresno, CA",2ba,$230/sqft,"Lot Size: 4,791 sqft",$67/monthly HOA
663 E Quincy Ave,https://www.trulia.com/p/ca/fresno/663-e-quincy-ave-fresno-ca-93720--1059110964,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$450,000 ",4bd,2ba,"1,832 sqft","1,832 sqft","Woodward Park, Fresno, CA",2ba,$246/sqft,"Lot Size: 9,020 sqft",Built in 1984
1190 S Winery Ave #150,https://www.trulia.com/p/ca/fresno/1190-s-winery-ave-150-fresno-ca-93727--2117062391,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$53,000 ",2bd,1ba,919 sqft,919 sqft,"Roosevelt, Fresno, CA",1ba,$58/sqft,Lot Size: 871 sqft,$275/monthly HOA
3399 N McArthur Ave,https://www.trulia.com/p/ca/fresno/3399-n-mcarthur-ave-fresno-ca-93727--2361754064,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$359,500 ",3bd,2ba,"1,635 sqft","1,635 sqft","Mclane, Fresno, CA",2ba,$220/sqft,"Lot Size: 6,011 sqft","Rooms: Dining Room, Family Room"
3632 E Rialto Ave,https://www.trulia.com/p/ca/fresno/3632-e-rialto-ave-fresno-ca-93726--2117055490,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$256,000 ",3bd,1.75ba,"1,505 sqft","1,505 sqft","Hoover, Fresno, CA",1.75ba,$170/sqft,"Lot Size: 7,701 sqft",Built in 1958
2674 E Omaha Ave,https://www.trulia.com/p/ca/fresno/2674-e-omaha-ave-fresno-ca-93720--2117006769,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Contact For Estimate,4bd,3ba,"2,657 sqft","2,657 sqft","Woodward Park, Fresno, CA",3ba,"Lot Size: 6,499 sqft",Built in 2000,Rooms: Dining Room
942 S Park Circle Dr,https://www.trulia.com/p/ca/fresno/942-s-park-circle-dr-fresno-ca-93727--2117080832,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$365,000 ",4bd,2.75ba,"2,713 sqft","2,713 sqft","Roosevelt, Fresno, CA",2.75ba,$135/sqft,Lot Size: 0.52 acres,Built in 1950
2316 S Stanford Ave,https://www.trulia.com/p/ca/fresno/2316-s-stanford-ave-fresno-ca-93727--2429446600,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$360,890 ",4bd,3ba,"2,280 sqft","2,280 sqft","Roosevelt, Fresno, CA",3ba,$158/sqft,"Rooms: Dining Room, Family Room",Parking Spaces: 2
8262 N Winery Ave,https://www.trulia.com/p/ca/fresno/8262-n-winery-ave-fresno-ca-93720--2117012145,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$480,000 ",5bd,3ba,"2,877 sqft","2,877 sqft","Woodward Park, Fresno, CA",3ba,$167/sqft,"Lot Size: 6,825 sqft",Built in 1999
317 W Strother Ave,https://www.trulia.com/p/ca/fresno/317-w-strother-ave-fresno-ca-93706--2116974051,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$150,000 ",3bd,2ba,816 sqft,816 sqft,"Edison, Fresno, CA",2ba,$184/sqft,"Lot Size: 7,492 sqft",Built in 1959
3555 W Nielsen Ave,https://www.trulia.com/p/ca/fresno/3555-w-nielsen-ave-fresno-ca-93706--2116974710,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$300,000 ",Studio,"1,349 sqft","1,349 sqft",3555 W Nielsen Ave,"Edison, Fresno, CA",,$222/sqft,Lot Size: 0.40 acres,Built in 1949
6193 N Carnegie Ave,https://www.trulia.com/p/ca/fresno/6193-n-carnegie-ave-fresno-ca-93722--2117037488,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$270,000 ",3bd,2ba,"1,304 sqft","1,304 sqft","Bullard, Fresno, CA",2ba,$207/sqft,"Lot Size: 5,301 sqft",Built in 1995
6159 E Providence Ave,https://www.trulia.com/p/ca/fresno/6159-e-providence-ave-fresno-ca-93727--2184012929,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$345,000 ",4bd,2.5ba,"2,016 sqft","2,016 sqft","Fresno, CA",2.5ba,$171/sqft,"Lot Size: 6,298 sqft",Built in 2015
1512 N Carruth Ave,https://www.trulia.com/p/ca/fresno/1512-n-carruth-ave-fresno-ca-93728--2117083484,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$70,000 ",1bd,1ba,762 sqft,762 sqft,"Fresno High Roeding, Fresno, CA",1ba,$92/sqft,"Lot Size: 6,316 sqft",Built in 1930
5730 W Fremont Ave,https://www.trulia.com/p/ca/fresno/5730-w-fremont-ave-fresno-ca-93722--2117035522,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$385,000 ",4bd,4ba,"2,586 sqft","2,586 sqft","Bullard, Fresno, CA",4ba,$149/sqft,"Lot Size: 6,120 sqft",Built in 1995
6708 E Heaton Ave,https://www.trulia.com/p/ca/fresno/6708-e-heaton-ave-fresno-ca-93727--2117079740,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$312,000 ",4bd,3ba,"1,860 sqft","1,860 sqft","Roosevelt, Fresno, CA",3ba,$168/sqft,"Lot Size: 8,023 sqft",Built in 2010
3078 W Stanislaus St,https://www.trulia.com/p/ca/fresno/3078-w-stanislaus-st-fresno-ca-93706--2116973872,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Contact For Estimate,4bd,3.75ba,"2,574 sqft","2,574 sqft","Edison, Fresno, CA",3.75ba,"Lot Size: 8,668 sqft",Built in 2005,Cooling System: Refrigerator
5730 W Fremont Ave,https://www.trulia.com/p/ca/fresno/5730-w-fremont-ave-fresno-ca-93722--2117035522,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=5730%20W%20Fremont%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=Tsev6hplWbU4LM_qyrDlLCIJtMA%3D,"$385,000 ",4bd,4ba,"2,586 sqft","2,586 sqft","Bullard, Fresno, CA",4ba,$149/sqft,"Lot Size: 6,120 sqft",Built in 1995
3078 W Stanislaus St,https://www.trulia.com/p/ca/fresno/3078-w-stanislaus-st-fresno-ca-93706--2116973872,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=3078%20W%20Stanislaus%20St%20Fresno%20CA%2093706&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=eN0-Jd7plnrgmAwEVYFSx7BLEoQ%3D,Contact For Estimate,4bd,3.75ba,"2,574 sqft","2,574 sqft","Edison, Fresno, CA",3.75ba,"Lot Size: 8,668 sqft",Built in 2005,Cooling System: Refrigerator
6708 E Heaton Ave,https://www.trulia.com/p/ca/fresno/6708-e-heaton-ave-fresno-ca-93727--2117079740,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=6708%20E%20Heaton%20Ave%20Fresno%20CA%2093727&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=8xjyZqribF7dkTVLBXPIB4hqzNo%3D,"$312,000 ",4bd,3ba,"1,860 sqft","1,860 sqft","Roosevelt, Fresno, CA",3ba,$168/sqft,"Lot Size: 8,023 sqft",Built in 2010
6159 E Providence Ave,https://www.trulia.com/p/ca/fresno/6159-e-providence-ave-fresno-ca-93727--2184012929,https://maps.googleapis.com/maps/api/staticmap?zoom=18&size=320x240&maptype=satellite&center=36.77236557006836%2C-119.67940521240234&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=SfdAtHL4sO7dTy62kPw8Jw-2XZs%3D,"$345,000 ",4bd,2.5ba,"2,016 sqft","2,016 sqft","Fresno, CA",2.5ba,$171/sqft,"Lot Size: 6,298 sqft",Built in 2015
798 N Leonard Ave,https://www.trulia.com/p/ca/fresno/798-n-leonard-ave-fresno-ca-93737--2117092560,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$437,000 ",4bd,2.5ba,"2,180 sqft","2,180 sqft","Fresno, CA",2.5ba,$200/sqft,Lot Size: 0.30 acres,Built in 1971
6462 N Raisina Ave,https://www.trulia.com/p/ca/fresno/6462-n-raisina-ave-fresno-ca-93710--1009754488,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$256,000 ",3bd,1.75ba,"1,725 sqft","1,725 sqft","Hoover, Fresno, CA",1.75ba,$148/sqft,"Lot Size: 7,479 sqft",Built in 1968
339 W Paul Ave,https://www.trulia.com/p/ca/fresno/339-w-paul-ave-fresno-ca-93704--2116951821,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$264,000 ",3bd,2ba,"1,416 sqft","1,416 sqft","Bullard, Fresno, CA",2ba,$186/sqft,"Lot Size: 6,098 sqft",Built in 1978
5110 N Fruit Ave #101,https://www.trulia.com/p/ca/fresno/5110-n-fruit-ave-101-fresno-ca-93711--2116994828,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$265,000 ",2bd,2ba,"1,547 sqft","1,547 sqft","Bullard, Fresno, CA",2ba,$171/sqft,"Lot Size: 2,038 sqft",$377/monthly HOA
4470 E Iowa Ave,https://www.trulia.com/p/ca/fresno/4470-e-iowa-ave-fresno-ca-93702--2116935644,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$250,000 ",5bd,2ba,"2,098 sqft","2,098 sqft","Roosevelt, Fresno, CA",2ba,$119/sqft,"Lot Size: 6,098 sqft",Built in 1943
3577 N McCaffrey Ave,https://www.trulia.com/p/ca/fresno/3577-n-mccaffrey-ave-fresno-ca-93723--2456195626,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$345,000 ",Studio,3577 N McCaffrey Ave,3577 N McCaffrey Ave,"Fresno, CA","Fresno, CA",,"Lot Size: 4,965 sqft",,
6975 E Garland Ave,https://www.trulia.com/p/ca/fresno/6975-e-garland-ave-fresno-ca-93727--2411483583,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$428,500 ",Studio,6975 E Garland Ave,6975 E Garland Ave,"Fresno, CA","Fresno, CA",,"Rooms: Dining Room, Family Room",Vaulted Ceiling,Parking Spaces: 3
2788 N Douglas Ave,https://www.trulia.com/p/ca/fresno/2788-n-douglas-ave-fresno-ca-93727--2411486967,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$489,500 ",Studio,2788 N Douglas Ave,2788 N Douglas Ave,"Roosevelt, Fresno, CA","Roosevelt, Fresno, CA",,"Lot Size: 7,082 sqft",Built in 2020,"Rooms: Walk In Closet, Dining Room, Office"
3196 Claremont Ave,https://www.trulia.com/p/ca/clovis/3196-claremont-ave-clovis-ca-93611--2082401638,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$48,000 ",Studio,3196 Claremont Ave,3196 Claremont Ave,"Clovis, CA","Clovis, CA",,"Lot Size: 7,971 sqft",,
5069 E Clay Ave,https://www.trulia.com/p/ca/fresno/5069-e-clay-ave-fresno-ca-93727--2117070592,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$225,000 ",3bd,1ba,"1,001 sqft","1,001 sqft","Roosevelt, Fresno, CA",1ba,$225/sqft,"Lot Size: 8,751 sqft",Built in 1951
11377 N Via Montessori Dr,https://www.trulia.com/p/ca/fresno/11377-n-via-montessori-dr-fresno-ca-93730--2117088492,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$575,000 ",3bd,3ba,"2,016 sqft","2,016 sqft","Woodward Park, Fresno, CA",3ba,$285/sqft,"Lot Size: 7,683 sqft",$55/monthly HOA
4885 E Atchison Ave,https://www.trulia.com/p/ca/fresno/4885-e-atchison-ave-fresno-ca-93725--1003049494,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$225,000 ",3bd,2ba,"1,373 sqft","1,373 sqft","Roosevelt, Fresno, CA",2ba,$164/sqft,"Lot Size: 7,801 sqft",Built in 1979
1347 E Shields Ave,https://www.trulia.com/p/ca/fresno/1347-e-shields-ave-fresno-ca-93704--2116949306,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$146,000 ",3bd,1ba,"1,380 sqft","1,380 sqft","Fresno High Roeding, Fresno, CA",1ba,$106/sqft,"Lot Size: 5,702 sqft",Built in 1917
2909 Huntington Blvd #248,https://www.trulia.com/p/ca/fresno/2909-huntington-blvd-248-fresno-ca-93721--2082512772,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","$90,000 ",1bd,1ba,696 sqft,696 sqft,"Central, Fresno, CA",1ba,$129/sqft,Lot Size: 988 sqft,$238/monthly HOA
